service,rps,avg,0.50,0.90,0.95,0.99
adservice,27.093333333333334,9.539985236220472,2.0,18.0,25.0,62.86000000000013
cartservice,1.7466666666666666,1306.8263358778627,728.0,2919.4000000000015,4453.799999999997,6881.899999999992
checkoutservice,7.953333333333333,123271.68776194468,101467.61111111111,295360.30000000005,315735.19999999995,502076.3199999999
currencyservice,79.18,305.13471415340575,152.40175310445582,574.8740471869331,928.4692307692304,2166.392653061221
emailservice,7.1433333333333335,725.7956136257583,201.0,872.2250000000001,1481.199999999999,3820.9000000000115
frontend,102.71666666666667,388324.7373357131,400842.4411892362,799605.2305332295,897481.5967320261,1199120.8418367344
paymentservice,6.886666666666667,564.9806389157793,432.8333333333333,944.4000000000005,1331.3999999999996,2589.5999999999967
productcatalogservice,205.29333333333332,1.0752581671754238,0.0,1.0,2.0,3.0
recommendationservice,72.1,30577.277484974573,7031.875114784206,91892.40748987853,96050.82132682131,104312.74814814818
redis
shippingservice,26.446666666666665,416.8585833123267,99.3888888888889,948.1959183673472,1741.8719999999976,4777.934999999997
get,0.9933333333333333,1656.7281879194632,1120.5,3339.1,5297.599999999988,9048.799999999985
set,0.7533333333333333,845.4513274336283,460.0,1882.8000000000002,2778.399999999997,5584.520000000002
total,100.08,581.90ms,552.45ms,937.98ms,1.56s
