service,rps,avg,0.50,0.90,0.95,0.99
adservice,35.96,19.60113088616982,3.0,17.0,22.0,48.498666666666885
cartservice,1.3866666666666667,1639.173076923077,971.0,3957.2000000000003,4881.0,8320.359999999975
checkoutservice,7.973333333333334,201205.9954013378,174665.55555555556,386431.4000000001,469101.2,604475.84
currencyservice,94.39333333333333,328.60565717917933,170.92389006342492,579.730304020922,986.0796568627445,2408.0612244897943
emailservice,7.066666666666666,409.30283018867925,206.94444444444446,878.0,1331.5,3155.400000000005
frontend,102.96,116978.74307174307,102429.10066699605,296710.7093855328,321181.9523648648,434284.5933333331
paymentservice,6.996666666666667,748.2210576464984,499.3333333333333,1443.2000000000003,2049.1499999999996,3740.519999999964
productcatalogservice,205.10333333333332,1.0548178966699713,0.0,1.0,1.0,3.0
recommendationservice,71.51,11442.957302009043,4586.68092924025,40756.580252100975,68576.10714285712,81822.21250000002
redis
shippingservice,23.403333333333332,546.9189666036547,125.8923611111111,1104.2448979591838,2236.78,5756.624999999995
get,0.9966666666666667,1771.7190635451504,1185.0,4019.000000000002,5155.000000000002,9165.579999999998
set,0.39,1300.4444444444443,774.0,3440.3999999999996,4688.949999999997,5976.009999999997
total,100.15,163.03ms,137.47ms,327.17ms,629.76ms
