,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,35.656666666666666,10.360942320276713,5.0,13.0,18.0,57.01500000000033,24.691666666666606
1,cartservice,1.78,2024.934456928839,1130.5,2377.0,4253.000000000004,11348.64,5870.95
2,checkoutservice,7.953333333333333,660892.1760268231,590602.0555555556,896638.3333333334,1298312.2,1697779.2,1488343.0
3,currencyservice,93.70333333333332,417.3545587136708,176.96490218642114,332.72459677419346,642.9158771929827,2567.481632653059,1070.0284097340116
4,emailservice,7.04,565.9815340909091,233.55555555555554,532.75,1307.6,5036.480000000016,2059.599999999998
5,frontend,102.87333333333332,241297.40878750567,204709.77111613876,327481.9399345096,490233.0517548712,1397001.390545455,609648.8135164834
6,paymentservice,6.923333333333333,784.0914780934039,510.8888888888889,880.625,1616.7999999999995,3782.46,2235.249999999999
7,productcatalogservice,208.95333333333332,0.9103308553744057,0.0,1.0,1.0,3.0,2.0
8,recommendationservice,72.96333333333334,30435.330622687194,7756.558823529412,70006.84613212873,90510.4785,174501.59909090915,98018.15150590151
9,redis,,,,,,,0.0
10,shippingservice,26.866666666666667,541.2939205955335,140.85416666666666,494.16,1311.3877551020407,6165.149999999978,2389.8319999999976
11,get,1.0066666666666666,2135.5,1306.5,2663.0,4788.200000000001,11742.720000000016,6312.75
12,set,0.7733333333333333,1881.0086206896551,875.5,1840.0,3012.0,10480.440000000008,5203.599999999981
13,total,100.12,331.61ms,270.85ms,431.10ms,563.20ms,1.56s,0.0
