service,rps,avg,0.50,0.90,0.95,0.99
adservice,30.84,9.908127972330307,2.0,17.0,22.0,48.31999999999971
cartservice,1.7266666666666666,2055.046332046332,949.0,3356.5,4943.199999999998,9885.080000000065
checkoutservice,7.97,279869.9443747386,215423.55555555553,510108.87500000006,629245.1499999997,820277.54
currencyservice,95.97,336.980306345733,180.67973856209147,601.6087877351038,1023.0755555555542,2400.286814814815
emailservice,7.06,527.3423040604343,211.0,1216.6000000000001,2186.1999999999994,4771.040000000008
frontend,102.88,151425.20868973562,143730.72887864822,322884.1552110251,401062.0040394089,595806.5952000004
paymentservice,6.976666666666667,809.1973244147157,528.6666666666666,1503.6000000000001,2155.849999999998,5075.040000000061
productcatalogservice,357.63,0.7850105789037086,0.0,1.0,1.0,3.0
recommendationservice,73.15333333333334,20337.183222455118,6988.532308377896,72591.87784657723,82922.68800000001,100297.24775757581
redis
shippingservice,26.946666666666665,451.183819891143,133.72916666666666,1120.5000000000002,1870.091999999998,4757.499999999991
get,0.9966666666666667,2771.327759197324,1286.0,3876.8000000000025,5602.700000000003,10881.779999999999
set,0.73,1077.109589041096,553.0,2432.7999999999993,3253.0499999999965,8336.760000000002
total,100.16,211.80ms,172.29ms,386.82ms,855.55ms
