,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,26.836666666666662,28.901875543410757,2.0,11.0,18.0,60.0,24.0
1,cartservice,1.7766666666666666,1501.9287054409006,788.0,1898.5,3471.3999999999996,9618.25999999997,4916.799999999997
2,checkoutservice,7.956666666666667,221008.51445328863,104994.66666666667,194370.91666666666,304750.85,3858934.3200000003,429368.39999999997
3,currencyservice,84.79,309.8212053308173,162.4142011834319,308.4661597593583,599.3965413533833,2252.600769230772,949.5591715976332
4,emailservice,7.013333333333334,443.39638783269965,199.0,412.0,876.3000000000018,3817.38,1392.75
5,frontend,102.53333333333332,360901.38215214567,382552.00535714277,514627.47104532475,704168.452164895,1009038.8244444451,802057.92014652
6,paymentservice,6.803333333333334,570.4786869181773,423.4444444444445,574.9375,939.0,2787.8699999999963,1337.7999999999977
7,productcatalogservice,208.6233333333333,2.1318644446929875,0.0,1.0,1.0,3.0,2.0
8,recommendationservice,73.00333333333333,42260.1976622072,9448.050765931373,88127.0531801407,101313.71557093426,193848.9337500002,111235.9782051282
9,redis,,,,,,,0.0
10,shippingservice,26.88,400.1537698412698,100.58333333333333,350.59999999999997,1006.9285714285717,4405.13999999999,1754.6739999999977
11,get,1.0033333333333334,1915.1926910299003,1389.0,2428.5,4209.400000000003,10814.420000000006,5471.6
12,set,0.7733333333333333,965.7543103448276,478.0,824.5,1980.8000000000006,6903.300000000001,3492.5999999999976
13,total,100.11,547.63ms,546.30ms,690.17ms,869.38ms,1.47s,0.0
