,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,40.123333333333335,28.233779180859017,6.0,14.0,20.0,54.0,25.018749999999955
1,cartservice,1.8033333333333328,1413.573012939002,732.0,1629.0,3140.0,9327.900000000025,4854.499999999998
2,checkoutservice,7.996666666666667,169332.4364318466,103408.0,190276.83333333334,293687.35,1310576.9399999944,407711.75
3,currencyservice,96.7,306.2271630472251,176.0,323.75003819709696,591.1092334494774,2132.697959183683,952.7620728291305
4,emailservice,7.086666666666667,394.7436500470367,192.33333333333334,389.375,878.0500000000001,3397.639999999954,1236.0
5,frontend,102.92666666666666,306082.309832243,238234.2799682561,496555.8040244602,700777.4883472059,1091877.4775238098,806056.8384169883
6,paymentservice,7.18,634.7223769730733,443.8888888888889,642.75,1147.9000000000003,3275.2800000000025,1631.7999999999993
7,productcatalogservice,356.7866666666667,1.0458070181994843,0.0,1.0,1.0,3.0,1.0
8,recommendationservice,73.27666666666667,57826.47705044808,17407.737889273358,96546.93655303029,109969.14050000001,281107.3942424238,192812.86916971917
9,redis,,,,,,,0.0
10,shippingservice,26.956666666666667,497.1245208359095,89.19097222222223,301.175,654.0775510204082,3710.177500000005,1098.1039999999996
11,get,1.0033333333333334,1761.375415282392,1101.0,2254.25,4064.0,9651.900000000007,5273.799999999998
12,set,0.8,977.3708333333333,435.0,818.5,1854.0,9322.899999999992,3627.699999999999
13,total,99.97,413.43ms,348.42ms,604.67ms,806.40ms,1.23s,0.0
