service,rps,avg,0.50,0.90,0.95,0.99
adservice,40.84,20.588801828272935,7.0,19.0,25.0,58.61999999999989
cartservice,1.43,1673.4988344988344,935.0,3571.4000000000005,4711.249999999994,6841.17999999998
checkoutservice,7.956666666666667,421182.5634687893,313415.6666666667,901676.2250000001,1098397.05,1313022.1400000008
currencyservice,95.88666666666667,492.3831259125356,182.56980056980052,654.2032982890129,1060.0948948948933,2695.661428571429
emailservice,7.03,393.31152204836417,201.0,841.200000000001,1362.4999999999995,2682.2299999999996
frontend,102.53,335079.6245976787,281949.25416666665,780435.6125000002,909112.2531800766,1198748.0087142857
paymentservice,7.166666666666667,814.2818604651163,524.3333333333334,1601.0,2262.0,4330.0
productcatalogservice,355.54,0.9002643865669123,0.0,1.0,1.0,3.0
recommendationservice,73.26,73882.43083993084,79012.95634128821,194525.61964285717,205389.85511111107,303188.7711111113
redis
shippingservice,26.753333333333334,349.25654124096684,96.0,824.90612244898,1387.08,3673.1049999999955
get,1.0066666666666666,1756.6920529801325,936.5,3871.2000000000007,4666.199999999999,7338.8800000000265
set,0.42333333333333334,1475.6692913385828,889.0,3218.0,4909.449999999997,6767.940000000004
total,100.06,460.72ms,386.05ms,880.13ms,1.68s
