service,rps,avg,0.50,0.90,0.95,0.99
adservice,28.633333333333333,20.348777648428406,2.0,17.0,23.0,61.32500000000027
cartservice,1.7366666666666666,1593.8790786948177,968.0,3929.200000000001,5035.15,9334.279999999999
checkoutservice,7.953333333333333,363229.2820620285,297846.5,671676.4500000001,720711.3999999999,1018935.3599999999
currencyservice,100.25333333333333,460.17070089107597,193.66485753052916,648.2896966632965,1068.2533333333317,2736.4015384615273
emailservice,6.716666666666667,434.9359801488834,201.88888888888889,986.0,1650.75,3339.8499999999954
frontend,102.87666666666667,171978.35845510807,179429.98394097222,371466.36236453196,405120.49380952376,693469.609199346
paymentservice,6.9,761.6676328502416,495.8333333333333,1413.0,2192.0,4212.4000000000015
productcatalogservice,283.59,0.7384839615877382,0.0,1.0,1.0,3.0
recommendationservice,69.43333333333334,17342.49375900144,6006.235351562501,66407.55218216318,75684.0,87707.77333333336
redis
shippingservice,26.91,444.79759692803174,118.52430555555556,1144.1142857142852,1954.0179999999964,4604.8849999999875
get,1.01,1915.5841584158416,1265.0,4159.799999999999,5484.8499999999885,10149.729999999996
set,0.7266666666666667,1146.7385321100917,590.0,2311.1000000000004,4144.0,7340.5199999999995
total,100.13,240.33ms,211.97ms,406.27ms,927.23ms
