service,rps,avg,0.50,0.90,0.95,0.99
adservice,43.0,24.541317829457363,9.0,21.0,27.0,59.5
cartservice,1.8166666666666667,1271.5577981651377,724.0,2808.0,3450.25,6553.499999999949
checkoutservice,8.0,685548.0441666667,589105.3888888889,1406383.0,1602116.5,1900485.0
currencyservice,95.42333333333333,376.6652460963426,178.5979020979021,594.6378947368419,961.76363095238,2374.526428571427
emailservice,7.07,505.04101838755304,206.0,1089.4,1985.3499999999958,4831.829999999999
frontend,103.03666666666666,319857.39002296916,217517.48090277778,782068.4252873565,970056.940354088,1514038.046666666
paymentservice,7.196666666666666,825.9138490041686,534.0,1634.0750000000003,2374.849999999998,4205.959999999992
productcatalogservice,205.64666666666668,0.9500275553538432,0.0,1.0,2.0,3.0
recommendationservice,71.99333333333334,71709.00319474026,80553.34621212122,191685.8225,202132.27692307692,300262.7683333333
redis
shippingservice,26.64666666666667,424.29259444583437,101.65277777777779,1093.75306122449,1871.7679999999987,4357.074999999993
get,0.9966666666666667,1119.020066889632,561.0,2558.0,3278.3000000000006,9388.559999999976
set,0.82,1456.959349593496,1091.5,3087.4000000000005,4040.5999999999985,6041.999999999996
total,99.97,415.83ms,321.28ms,876.03ms,1.77s
