,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,25.916666666666668,21.70315112540193,2.0,11.0,17.857142857142858,59.125,23.11
1,cartservice,1.7,1648.1960784313726,905.5,1822.0,3378.5,10106.79999999999,4845.0
2,checkoutservice,7.956666666666667,290378.0728948471,208242.55555555553,396575.6666666667,581947.8000000002,1004343.64,709122.55
3,currencyservice,92.95333333333332,477.67065911209926,163.99697976442164,310.84278644842016,613.39152790626,2770.26715151515,1041.5567999999996
4,emailservice,7.036666666666667,992.4159166271909,204.7777777777778,485.75,1475.2000000000003,6360.989999999969,2708.4499999999944
5,frontend,102.88,230137.41825427682,212274.22916666666,316990.4242791496,424546.04411414993,1282695.271904763,528051.2550537629
6,paymentservice,6.79,681.0603829160531,464.0,707.1875,1315.8,3735.5599999999868,1923.44999999999
7,productcatalogservice,283.11,0.8096617333663005,0.0,1.0,1.0,3.0,1.0
8,recommendationservice,73.03333333333333,13614.500775901415,4836.904844290657,9382.535408766205,64692.43195266273,87530.05000000008,75737.3448275862
9,redis,,,,,,,0.0
10,shippingservice,26.906666666666663,430.79955401387514,105.89583333333333,401.3636363636364,1067.2392857142859,4572.3399999999965,1841.723999999999
11,get,0.99,1996.6464646464647,1190.0,2190.25,3714.6000000000004,10164.259999999987,5150.949999999999
12,set,0.71,1162.3286384976525,614.0,1243.0,1970.0000000000002,10076.370000000004,3939.0499999999993
13,total,100.16,338.25ms,307.71ms,413.95ms,583.17ms,1.54s,0.0
