service,rps,avg,0.50,0.90,0.95,0.99
adservice,32.79333333333334,9.14738768042285,3.0,18.0,25.0,57.87200000000048
cartservice,1.7333333333333334,3551.482692307692,1090.0,3819.5,4928.5,9094.499999999993
checkoutservice,7.946666666666666,573315.8171140939,493404.8333333333,1190211.05,1304253.7999999993,1934315.7599999998
currencyservice,90.15333333333334,470.8092878799083,176.84984984984987,675.156788124157,1094.722828282827,2719.4695970696016
emailservice,7.01,474.3038516405135,228.55555555555554,1055.0000000000005,1736.499999999999,3501.47
frontend,102.46,313721.6075541675,291790.15763888886,617615.6051020407,795200.4769040245,1397610.2127692304
paymentservice,7.073333333333333,839.1201696512724,525.6111111111111,1601.5333333333328,2346.399999999999,4839.200000000043
productcatalogservice,274.0733333333333,0.897168640996327,0.0,1.0,1.2954324586977082,3.0
recommendationservice,69.78666666666666,40114.450277034775,9057.755102040815,99950.4079144385,110440.0765432099,196029.71999999997
redis
shippingservice,26.22,547.9921179760996,129.58333333333334,1307.45918367347,2434.3679999999995,5882.695000000004
get,0.9633333333333334,2336.5397923875435,1544.0,4534.200000000005,5621.05,9151.850000000002
set,0.77,5071.476190476191,750.0,2675.4000000000005,3643.849999999996,9448.38999999996
total,99.64,452.64ms,390.14ms,765.95ms,1.73s
