service,rps,avg,0.50,0.90,0.95,0.99
adservice,26.496666666666666,10.026795823374009,2.0,18.0,23.009999999999856,63.25500000000011
cartservice,1.7833333333333334,1910.7644859813083,1062.0,4492.0,5375.25,13123.15
checkoutservice,7.95,550878.5983228511,487223.6666666667,1048691.375,1196481.75,1562929.1000000078
currencyservice,93.65,337.04744616479803,176.51898734177212,611.2826976944624,1024.6388888888887,2407.291071428569
emailservice,7.04,556.9649621212121,210.0,1174.1999999999998,2284.6999999999994,4467.44000000001
frontend,102.91666666666667,204560.15779757086,198860.9753472222,408405.9362244898,504390.0345804988,1095525.9097222222
paymentservice,6.786666666666667,781.9837917485265,493.0,1539.8000000000002,2308.7999999999993,4922.1199999999735
productcatalogservice,277.31333333333333,0.9131307546217275,0.0,1.0,1.0,3.0
recommendationservice,71.15666666666667,8738.408394622194,4082.3215420332353,12240.34874915483,60043.11253846148,75049.11166666663
redis
shippingservice,26.366666666666667,533.7845764854615,124.88888888888887,1226.469387755102,2118.52,5925.999999999991
get,0.9933333333333333,2238.7248322147652,1428.0,4805.6,5883.1999999999925,12139.95999999993
set,0.79,1498.392405063291,747.0,3588.6000000000004,5149.599999999998,13122.33
total,100.12,278.81ms,232.32ms,489.47ms,1.40s
