,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,28.40333333333333,8.286468724328131,2.0,12.0,18.0,55.89499999999953,24.0
1,cartservice,1.7533333333333334,1632.6863117870723,936.0,1880.0,3231.4,7935.440000000004,4293.199999999999
2,checkoutservice,7.946666666666666,459127.1220637584,389146.6666666667,673149.6111111111,993262.0499999999,1310873.1599999997,1111372.0000000007
3,currencyservice,89.17666666666666,335.29630321833065,168.93197278911566,328.75191326530603,657.4484784688997,2505.5392857142924,1065.6997023809524
4,emailservice,7.04,515.6292613636364,212.0,464.25,1250.8999999999999,3729.9000000000005,1937.7999999999997
5,frontend,102.8,333679.54332036315,310236.04098360654,503314.4756097561,677665.9354553493,1299275.0187499996,796551.8698412698
6,paymentservice,7.096666666666667,793.2865194927195,489.11111111111114,804.125,1554.0666666666675,4318.2800000000025,2399.45
7,productcatalogservice,278.67,0.8198705757108169,0.0,1.0,1.0,3.0,2.0
8,recommendationservice,71.66,33302.557679784164,7842.347566574839,78485.91379428026,94512.92215686274,178756.65600000008,101288.76923076922
9,redis,,,,,,,0.0
10,shippingservice,26.523333333333333,465.5967073017469,110.21875,428.62,1143.8408163265308,5322.787500000008,2046.5439999999992
11,get,0.9866666666666668,1783.4324324324325,1041.0,1881.0,3122.800000000002,8064.740000000009,4134.5999999999985
12,set,0.7666666666666667,1438.682608695652,806.0,1804.0,3317.0,7676.799999999986,4532.0
13,total,100.11,495.43ms,467.71ms,653.82ms,796.16ms,1.67s,0.0
