,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,32.263333333333335,9.730034094431243,2.0,12.0,17.0,64.0,24.0
1,cartservice,1.7233333333333334,1592.2553191489362,754.0,1639.25,3351.600000000001,9815.999999999978,5165.0
2,checkoutservice,7.946666666666666,454715.11828859063,394202.1666666667,596165.3888888889,805558.2999999999,1282777.4799999997,988345.5000000003
3,currencyservice,94.66333333333333,654.8274235008275,174.47912262156444,330.3004262574595,638.3208333333336,3184.603333333317,1085.4921558441551
4,emailservice,7.033333333333333,428.6900473933649,200.5,426.125,975.5,2965.4000000000037,1527.9499999999994
5,frontend,102.86666666666666,162289.07670123136,130939.93857713326,226181.98875514726,330362.4774078479,868674.0205128223,459872.70306122204
6,paymentservice,6.786666666666667,783.7858546168959,523.7777777777777,868.5,1567.4000000000005,4459.359999999991,2185.2
7,productcatalogservice,208.93666666666667,0.8830427083167148,0.0,1.0,1.0,3.0,1.0
8,recommendationservice,73.25,9167.147030716724,4270.022491349481,7476.04533964221,13925.949953314659,72207.80555555556,59185.69380952382
9,redis,,,,,,,0.0
10,shippingservice,26.846666666666668,519.8320089396573,136.0277777777778,486.16,1285.0551020408168,5705.495000000001,2264.007999999999
11,get,1.0066666666666666,1603.4635761589404,737.0,1834.0,3599.8000000000015,9079.96000000001,5460.649999999998
12,set,0.7166666666666667,1576.5116279069769,779.0,1437.25,2691.0,10953.349999999999,4382.849999999993
13,total,100.15,213.92ms,194.82ms,288.77ms,402.17ms,1.14s,0.0
