,Unnamed: 0,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,0,adservice,25.47,30.00772150242115,3.0,12.0,19.0,71.09000000000015,26.0
1,1,cartservice,1.7966666666666666,1276.9666048237477,669.0,1341.0,2608.2000000000007,7141.1600000000035,3694.799999999996
2,2,checkoutservice,7.933333333333334,131859.08361344537,103978.11111111112,199007.0,286338.5,756657.3999999915,318583.60000000003
3,3,currencyservice,90.95333333333332,320.4680788682841,172.60989010989013,333.9342585829072,679.3385600000003,2447.3823809523788,1065.0588552188535
4,4,emailservice,6.993333333333333,359.5853193517636,196.0,367.375,697.8000000000002,2352.439999999999,1056.1499999999994
5,5,frontend,102.43,615383.2067102736,600515.7480093916,898811.3100832839,1110420.4271683674,2990985.9954687194,1300452.3574596772
6,6,paymentservice,6.89,555.8021286889211,417.2222222222222,545.125,911.8,2699.66,1365.5999999999997
7,7,productcatalogservice,176.95333333333335,0.8929096183551218,0.0,1.0,1.0,3.0,2.0
8,8,recommendationservice,53.16666666666666,100761.41642633229,95238.712,176836.83390293914,203674.00049261088,393370.5777777778,290735.8177777778
9,9,redis,,,,,,,0.0
10,10,shippingservice,24.816666666666663,343.31954331766286,91.0,304.2099999999999,747.0000000000001,4201.850000000007,1364.4539999999986
11,11,get,0.9833333333333332,1546.7050847457626,1025.0,1862.25,3418.0,7395.950000000001,4873.899999999995
12,12,set,0.8133333333333334,950.8483606557377,406.5,672.0,1519.0999999999997,6340.12,2420.75
13,13,total,100.16,1.12s,858.62ms,1.35s,2.17s,5.49s,0.0
