service,rps,avg,0.50,0.90,0.95,0.99
adservice,34.526666666666664,29.928654180343695,3.0,18.0575163398693,24.0,59.76800000000003
cartservice,1.75,1822.2361904761906,1091.0,4025.0,5586.25,7703.0
checkoutservice,7.976666666666667,376197.28123694105,296936.6666666667,794624.0000000002,918228.8999999999,1215480.870000001
currencyservice,93.31666666666666,342.66358278263976,191.7218604651163,715.1661600810537,1158.357142857143,2500.220833333331
emailservice,6.873333333333333,448.2725509214355,201.11111111111111,958.6999999999996,1756.5999999999974,3578.5999999999976
frontend,102.60333333333334,320139.46600175434,304741.33854166657,626879.2530612248,775944.9473063968,1024667.5435802463
paymentservice,7.02,745.3703703703703,481.8333333333333,1390.2000000000007,2120.7999999999993,4352.320000000007
productcatalogservice,356.3666666666667,1.2533065195023851,0.0,1.0,1.0,3.0
recommendationservice,70.19666666666667,35515.09387910157,7922.6373626373625,95353.60486802594,101496.41898656898,185869.68805555557
redis
shippingservice,26.93,472.8837727441515,123.07291666666667,1063.7183673469392,1890.6779999999985,5349.965
get,1.0,2238.5533333333333,1534.0,4319.0,5979.0,8746.0
set,0.75,1267.1466666666668,709.0,3027.0,4306.75,7381.0
total,100.01,462.09ms,402.69ms,785.41ms,1.57s
