service,rps,avg,0.50,0.90,0.95,0.99
adservice,29.936666666666667,17.593029729428793,3.0,18.0,24.0,60.595000000000255
cartservice,1.45,1577.6482758620689,894.0,3404.0,4519.0,6885.249999999989
checkoutservice,7.986666666666666,683253.8852253756,600429.6666666666,1308855.4000000004,1594118.5,1890073.2599999998
currencyservice,91.32666666666667,384.1393532374626,176.91453615777937,628.0791666666669,1040.2397115384608,2677.4778021978045
emailservice,6.996666666666667,537.7184373511196,223.33333333333334,1418.0000000000014,2136.75,3675.0599999999986
frontend,102.80666666666667,261131.69252966734,225547.83333333334,505072.3233211234,608853.5500793649,1290323.3747619037
paymentservice,6.846666666666667,820.7492697176242,512.5,1647.1000000000001,2468.7999999999997,4411.080000000003
productcatalogservice,205.39,1.002077348783615,0.0,1.0,2.0,3.0
recommendationservice,69.92666666666666,22600.62708551816,6510.827620967742,81661.65824898786,89357.69533834587,102649.26733333337
redis
shippingservice,26.483333333333334,551.0760226557584,112.86458333333333,1405.5510204081631,2436.35,6436.375000000006
get,1.0,1739.2066666666667,948.0,3623.0,4683.5,8576.5
set,0.45,1218.6296296296296,776.0,2929.0,4024.75,5883.800000000007
total,100.12,364.93ms,339.45ms,577.53ms,1.54s
