,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,26.67,10.167604049493812,3.0,12.0,18.95102040816331,62.0,25.0
1,cartservice,1.7066666666666668,1847.826171875,720.5,1705.0,3316.400000000001,11757.52,5179.249999999993
2,checkoutservice,7.96,210292.10050251256,114023.33333333333,205926.16666666666,387952.20000000007,2100296.3999999994,587367.5999999999
3,currencyservice,88.42,294.1025032044032,167.1766805472933,313.0091575091575,586.1672180865733,2216.030769230759,945.5312499999989
4,emailservice,7.016666666666667,437.00332541567695,195.0,416.9375,930.0,3599.0499999999984,1471.3999999999987
5,frontend,102.78,242929.94369851463,217833.25819892477,371120.0118100129,497994.52536945813,919995.1263999995,525806.1604166665
6,paymentservice,6.77,652.2038404726735,447.4444444444445,662.5625,1115.8000000000002,4315.380000000006,1695.7999999999997
7,productcatalogservice,208.60666666666663,1.0151800837301461,0.0,1.0,1.0,3.0,1.3086710239650248
8,recommendationservice,73.01,23684.627083047984,7129.808189655171,21366.205384674686,83886.10143849206,106444.20500000007,91719.1801994302
9,redis,,,,,,,0.0
10,shippingservice,26.85333333333333,467.67527308838135,102.65277777777779,384.2900000000001,1080.26530612245,5449.219999999995,2090.4
11,get,0.9866666666666668,2149.3344594594596,1006.5,2144.5,4205.700000000002,13097.260000000051,7070.550000000001
12,set,0.72,1434.648148148148,504.0,1091.0,2253.6,9497.500000000011,3288.799999999998
13,total,100.12,356.73ms,348.67ms,462.33ms,576.00ms,1.26s,0.0
