service,rps,avg,0.50,0.90,0.95,0.99
adservice,32.12,9.49626400996264,3.0,18.0,23.016666666666577,51.31999999999971
cartservice,1.6933333333333334,1585.533464566929,832.0,3320.399999999999,4260.7999999999965,8356.280000000006
checkoutservice,7.946666666666666,531398.8729026846,405801.3333333333,1008362.7499999998,1299357.7999999998,1909061.1199999996
currencyservice,91.83333333333333,308.40990925589836,169.0,579.8974358974358,970.2569892473117,2248.734375
emailservice,7.04,477.35653409090907,222.16666666666666,1144.4999999999998,1796.6999999999996,3284.520000000006
frontend,102.86,200697.60758960398,148498.41979166665,410880.65689326765,517920.08888888865,1252537.8925714262
paymentservice,6.83,836.274280136652,507.6666666666667,1511.6000000000001,2279.3999999999987,4686.08
productcatalogservice,209.13,0.8339310476736957,0.0,1.0,1.0,3.0
recommendationservice,72.97666666666667,23072.71337870552,7003.548562253685,80720.45464052286,88869.3668639053,102585.39916666667
redis
shippingservice,26.893333333333334,460.10609816559247,109.08333333333333,1146.524489795918,2103.7319999999972,4775.539999999994
get,0.9866666666666667,1514.5844594594594,945.0,3227.4,4159.499999999996,7323.52
set,0.7066666666666667,1684.5943396226414,692.5,3500.000000000001,4338.499999999998,8960.019999999995
total,100.15,265.29ms,224.77ms,462.59ms,1.34s
