service,rps,avg,0.50,0.90,0.95,0.99
adservice,29.586666666666666,9.798557908968004,3.0,18.0,25.0,61.73999999999978
cartservice,1.7533333333333334,2054.971482889734,1094.5,4098.6,5768.399999999998,8899.920000000006
checkoutservice,7.956666666666667,326742.4046920821,289872.2222222222,673999.0500000024,785816.15,896056.6900000001
currencyservice,95.71,356.2780970292202,178.17559262510974,660.7618931048553,1079.659499999999,2658.652857142855
emailservice,7.05,509.4321513002364,228.0,1105.0,1652.75,3335.1499999999974
frontend,102.98333333333333,249893.69800938663,226459.04465767115,505959.24705882353,600902.3170319264,825494.7592261868
paymentservice,6.866666666666666,795.7364077669903,500.5,1652.5,2454.0,4344.1
productcatalogservice,209.12666666666667,0.8601485543052058,0.0,1.0,2.0,3.0
recommendationservice,73.14666666666666,32750.312249362014,8023.820758606474,93753.33700000003,101960.3693877551,183610.30888888898
redis
shippingservice,26.926666666666666,671.9560534785838,131.33333333333334,1389.0591836734693,2412.7599999999975,6333.825000000011
get,1.0033333333333334,2349.4318936877075,1481.0,4618.4000000000015,6101.949999999999,9485.8
set,0.75,1661.048888888889,697.0,3381.0,4314.75,8406.0
total,100.12,364.03ms,320.51ms,613.89ms,1.31s
