service,rps,avg,0.50,0.90,0.95,0.99
adservice,22.74,19.694957490472003,2.0,18.0,24.0,66.83499999999981
cartservice,1.8166666666666667,1596.7247706422017,871.0,3886.0,5052.0,8740.99999999999
checkoutservice,7.94,565642.1645675902,477787.05555555556,1205752.9000000001,1416025.8000000003,1702535.399999999
currencyservice,89.89333333333333,492.1063853455948,179.51298245614032,738.0972244897961,1216.2564102564093,3228.7073469387738
emailservice,7.04,505.9588068181818,203.83333333333334,1124.3,1861.6999999999982,4291.58000000001
frontend,102.83,419081.1971214626,404782.31119791657,798211.039001189,968230.9299999991,1707302.8304999995
paymentservice,6.996666666666667,830.6355407336827,518.0,1693.2000000000003,2432.5999999999995,4800.899999999979
productcatalogservice,282.86,1.1077093497372081,0.0,1.0,2.0,3.0
recommendationservice,73.22333333333333,15314.48572859289,5672.0973183391,71247.79027027027,80371.77644444442,90734.09999999999
redis
shippingservice,23.863333333333333,572.8605142218358,126.1388888888889,1512.314285714287,2705.811999999999,6305.5774999999885
get,0.9933333333333333,1910.8892617449665,1119.5,4350.799999999999,5830.99999999999,11820.6399999999
set,0.8233333333333334,1217.6923076923076,680.0,2874.6000000000004,4142.699999999985,6013.760000000001
total,100.08,611.93ms,564.73ms,992.77ms,2.10s
