,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,19.506666666666668,7.675837320574162,2.0,8.0,17.0,59.97999999999956,23.0
1,cartservice,1.903333333333333,1238.828371278459,674.0,1481.0,3031.3999999999987,7066.609999999994,3934.7500000000014
2,checkoutservice,7.953333333333333,178261.987007544,113122.7777777778,219838.66666666666,412671.75,891246.8399999994,517279.2
3,currencyservice,86.77333333333333,333.8475722188076,159.31875,311.4889536459745,628.3949999999998,2624.0832857142873,1061.680075901328
4,emailservice,7.046666666666667,380.6177861873226,196.55555555555554,367.25,714.6000000000008,3305.8400000000024,1181.0
5,frontend,102.57333333333334,667313.6965748082,701772.7638888891,998373.0927800271,1203797.1043054496,1807358.527901234,1400994.652154195
6,paymentservice,6.776666666666666,548.0467289719626,429.0,549.4375,890.0,2789.010000000004,1252.85
7,productcatalogservice,281.61,0.8899660286684895,0.0,0.0,1.0,3.0,2.0
8,recommendationservice,73.16,26206.953298706034,7327.294117647059,19830.128935532233,91005.606,113675.3828888889,97850.35466666665
9,redis,,,,,,,0.0
10,shippingservice,26.74,419.0615806532037,99.44444444444446,357.7,1067.0714285714287,4532.459999999992,1953.9319999999984
11,get,1.0066666666666666,1553.7615894039734,1005.5,1950.0,3317.7000000000007,7200.760000000002,4167.1
12,set,0.8966666666666666,885.2602230483271,442.0,743.5,2004.6,6786.970000000001,3338.4999999999955
13,total,99.95,1.10s,925.18ms,1.43s,2.05s,4.05s,0.0
