,Unnamed: 0,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,0,adservice,33.29333333333334,9.634661593912694,3.0,12.0,17.0,54.0300000000002,23.86666666666669
1,1,cartservice,1.75,1560.2019047619049,880.0,1880.25,3457.0,9442.0,5066.0
2,2,checkoutservice,7.966666666666667,303864.70334728033,224349.11111111112,412722.3333333333,601206.0,885205.2,696582.0
3,3,currencyservice,93.53666666666666,345.66063219414843,177.36083916083913,332.65659564085877,613.8816635160683,2401.9183809523784,1010.3401881720424
4,4,emailservice,7.06,411.2204910292729,208.16666666666666,395.0,907.9,3182.0400000000036,1417.55
5,5,frontend,102.94666666666669,215922.48225618442,206500.8532986111,320402.5897937275,438046.0569761275,883186.638909091,523480.11910569103
6,6,paymentservice,6.986666666666666,830.3062977099237,498.9444444444444,795.0,1403.7000000000003,3850.1799999999885,1964.65
7,7,productcatalogservice,282.82,0.9261956957310893,0.0,1.0,1.0,3.0,1.0
8,8,recommendationservice,73.27,20050.275283199127,5436.661764705883,13641.132771164024,79939.27739495799,96377.64878787874,86550.69097222222
9,9,redis,,,,,,,0.0
10,10,shippingservice,26.883333333333333,461.0409175449473,134.20833333333334,432.8875,1144.469387755102,4834.012500000001,2065.851999999998
11,11,get,0.9933333333333332,1821.03355704698,1085.0,2286.0,3967.4,9610.039999999995,6019.599999999999
12,12,set,0.7566666666666667,1217.7885462555066,624.0,1551.0,2989.2,6338.70999999999,3916.8999999999983
13,13,total,100.15,300.95ms,250.37ms,410.11ms,539.14ms,1.30s,0.0
