service,rps,avg,0.50,0.90,0.95,0.99
adservice,36.47,10.855040672699023,3.0,18.0,24.0,54.836000000000055
cartservice,1.7566666666666666,1756.9240986717268,849.0,3735.0,5173.699999999999,9801.410000000007
checkoutservice,7.95,439800.9501048218,373825.22222222225,893556.375,1000539.0,1199432.8
currencyservice,98.04,344.67724058207534,192.7694508009153,673.6973913043477,1062.6189473684203,2465.6219780219817
emailservice,7.046666666666667,426.75212866603596,209.55555555555554,976.2000000000016,1488.9999999999998,3070.9600000000014
frontend,102.61,209603.90446025404,198448.696875,478655.1799107143,578765.0480357142,1001108.5549999995
paymentservice,6.96,800.9530651340996,536.4444444444445,1548.5000000000002,2129.2,4363.479999999983
productcatalogservice,348.4033333333333,1.1644549899063346,0.0,1.0,1.0,3.0
recommendationservice,70.84,19690.463250517598,5504.092695587691,79504.06991902833,85923.87729870129,93776.05088888887
redis
shippingservice,26.333333333333332,455.4818987341772,131.13888888888886,1065.2448979591834,1979.02,4756.5
get,0.9933333333333333,1940.0369127516778,833.5,4094.2,5355.399999999998,10086.6
set,0.7633333333333333,1518.6375545851529,876.0,3630.3999999999996,4803.199999999996,6783.480000000009
total,100.15,292.10ms,235.65ms,528.90ms,1.34s
