,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,30.75,15.014742547425474,2.0,11.0,16.0,49.0,22.0
1,cartservice,1.77,1721.9924670433145,1046.0,2196.75,4011.8000000000006,8844.649999999961,5640.099999999999
2,checkoutservice,7.94,439039.8408900084,378915.6666666667,589350.6666666666,806821.5000000001,1803468.959999999,918689.8
3,currencyservice,94.67,350.120312665047,172.8415071770335,320.8401687905209,600.033218702866,2567.1934693877406,996.279292929293
4,emailservice,7.036666666666667,516.4542870677404,204.88888888888889,458.4375,1119.2000000000003,4176.239999999998,2014.75
5,frontend,102.75333333333332,168636.34036203206,164429.11639414803,226355.08331116044,316189.6825,892480.2579999991,405808.2668067227
6,paymentservice,6.86,753.0199222546162,508.0,844.625,1480.4,3729.800000000001,2051.9999999999973
7,productcatalogservice,209.03666666666663,0.9577904992744495,0.0,1.0,1.0,3.0,1.0
8,recommendationservice,73.00333333333333,14400.993698917857,5273.692906574394,11229.61605854463,60288.11592442647,84853.3948148149,70596.24792490118
9,redis,,,,,,,0.0
10,shippingservice,26.89,438.973720094211,92.75694444444444,383.4575000000001,1139.2163265306124,4976.3974999999955,2046.5339999999967
11,get,0.9933333333333332,2046.2147651006712,1306.0,2686.0,4503.5,9433.879999999997,6084.799999999988
12,set,0.7766666666666666,1307.3218884120172,692.0,1611.0,3038.6000000000026,7162.53999999999,4171.799999999998
13,total,100.12,238.50ms,203.65ms,293.89ms,396.29ms,1.10s,0.0
