,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,22.95,9.314306463326071,2.0,10.953703703703702,18.0,61.149999999999636,25.0
1,cartservice,1.72,1577.8682170542636,747.0,1910.0,3827.2000000000016,11892.799999999976,5102.099999999998
2,checkoutservice,7.96,207294.25293132328,119220.83333333333,277285.6666666667,427294.90000000014,1200015.82,523777.94999999995
3,currencyservice,82.68333333333334,331.3726668010482,160.6767567567567,306.9112903225806,580.6306277056276,2366.2710622710665,951.9219891219886
4,emailservice,7.023333333333333,461.0484100616991,215.0,439.0625,980.8,3690.7399999999643,1641.7499999999993
5,frontend,102.63666666666668,330349.1392289955,317026.73589409713,507040.0872992266,653721.3221001229,906285.4269135803,712127.7619047618
6,paymentservice,6.756666666666667,635.6842624568328,439.6666666666667,647.4375,1119.1999999999998,3235.23,1774.2999999999997
7,productcatalogservice,277.25666666666666,0.7534775238347139,0.0,1.0,1.0,3.0,1.0
8,recommendationservice,70.76333333333334,11637.845635687032,4158.948586309523,6814.487073112074,51210.318881119245,84811.93727272726,76179.346875
9,redis,,,,,,,0.0
10,shippingservice,26.38,425.47523376295175,99.35416666666669,364.66999999999996,1014.3367346938778,5083.784999999992,1931.6319999999955
11,get,0.9833333333333332,2050.728813559322,1161.0,2715.5,4535.0,12568.75,6078.75
12,set,0.7366666666666667,946.6742081447964,471.0,813.25,1841.8000000000002,7990.439999999986,3017.899999999995
13,total,100.11,482.31ms,502.27ms,629.76ms,797.70ms,1.34s,0.0
