service,rps,avg,0.50,0.90,0.95,0.99
adservice,32.93666666666667,17.68626657220929,3.0,18.0,24.0,55.2760000000002
cartservice,1.75,1510.1866666666667,907.0,3370.0,4542.0,9107.0
checkoutservice,7.96,335307.85343383584,290445.3333333333,678389.0,794673.6999999998,920050.7799999998
currencyservice,97.59,478.0964579704205,177.43470588235294,624.9380512820511,1056.9768531689574,2614.9704029304003
emailservice,7.013333333333334,478.9534220532319,203.22222222222226,1070.1000000000001,1913.6999999999996,4062.140000000004
frontend,102.93333333333334,198662.59922279793,201834.39907407406,410970.14503932244,498401.1259398496,717962.6083333335
paymentservice,6.94,799.8222862632084,515.0,1558.899999999999,2404.5999999999985,4167.079999999962
productcatalogservice,209.25333333333333,0.9209092646871416,0.0,1.0,2.0,3.0
recommendationservice,73.24,33227.119424722376,9384.357159555815,91722.27399999999,99387.71259259256,174816.0717777776
redis
shippingservice,26.94,415.9415986142044,108.06944444444444,1011.8428571428574,1787.9359999999974,4618.44000000001
get,1.0066666666666666,1770.7185430463576,1103.0,3982.8000000000015,5448.399999999996,9438.080000000002
set,0.7433333333333333,1157.3587443946187,737.0,2673.000000000002,3478.0499999999984,4930.48
total,100.13,273.47ms,231.42ms,501.25ms,1.10s
