,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,20.77,27.110415663617395,2.0,10.0,18.0,72.0,26.0
1,cartservice,1.7733333333333334,1874.1484962406016,1145.0,2340.0,4642.100000000002,8958.599999999911,6315.199999999998
2,checkoutservice,7.94,397399.6922753988,306953.11111111107,584964.6666666666,888228.15,1210248.7599999998,1006094.3999999999
3,currencyservice,82.47666666666667,317.04102170310796,165.6441539578794,330.426599801061,668.2700980392158,2551.5590909090897,1097.9544047619036
4,emailservice,7.033333333333333,550.942654028436,209.2777777777778,427.625,960.5,3775.000000000003,1607.7999999999997
5,frontend,102.58666666666667,465336.8453990122,500990.48263888893,700097.3343248067,897675.213917749,1300883.2918518519,1001342.1036140582
6,paymentservice,6.92,719.6661849710982,484.8333333333333,738.0,1404.6000000000004,3852.099999999986,2029.0
7,productcatalogservice,208.57666666666665,0.8648938040368849,0.0,1.0,1.0,3.0,2.0
8,recommendationservice,72.90333333333334,8643.33999359883,3481.429383490073,5382.928765880218,9684.371278195496,81093.46412121215,68905.8
9,redis,,,,,,,0.0
10,shippingservice,26.85,493.0562383612663,119.41025641025641,445.9625,1325.7551020408162,5026.799999999994,2262.66
11,get,1.0033333333333334,2320.3853820598006,1522.0,3227.0,5288.6,9640.580000000018,6820.0
12,set,0.77,1292.6883116883116,601.0,1546.25,3224.6000000000004,8009.159999999993,4670.199999999997
13,total,100.03,684.34ms,657.92ms,855.04ms,1.13s,1.76s,0.0
