service,rps,avg,0.50,0.90,0.95,0.99
adservice,27.283333333333335,10.169456322541233,2.0,17.0,23.669999999999998,58.28749999999991
cartservice,1.75,1999.672380952381,1318.0,4497.0,5934.75,10196.0
checkoutservice,7.943333333333333,993529.859420898,898982.2222222221,1880338.1250000005,2118939.9,2485966.0600000005
currencyservice,93.19666666666667,347.962909975321,183.93510005408328,652.1926712568566,1068.3058479532162,2452.3053333333323
emailservice,7.036666666666667,545.9853150165799,225.7777777777778,1335.4,2115.6499999999987,4623.119999999999
frontend,102.75333333333333,265989.8079218841,203932.1111111111,490790.15581395355,997084.5475113121,1910504.546999999
paymentservice,6.816666666666666,825.8577017114915,507.8888888888889,1634.0,2544.75,4726.049999999999
productcatalogservice,205.12333333333333,2.206688658855648,0.0,1.0,2.0,3.0
recommendationservice,71.41,19261.842319002943,6632.731505531506,73805.44400000002,82619.24874999998,94924.75066666667
redis
shippingservice,26.383333333333333,659.0667087807959,140.69097222222223,1704.9591836734694,3180.82,7093.900000000005
get,0.9766666666666667,2159.9351535836176,1451.0,4612.0,6456.4999999999945,10518.8
set,0.7733333333333333,1797.271551724138,1108.0,3900.9000000000005,5484.699999999999,9404.200000000006
total,100.13,360.41ms,287.49ms,592.38ms,1.77s
