,Unnamed: 0,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,0,adservice,19.076666666666668,10.993360125808142,2.0,10.076530612244897,19.0,78.80999999999858,26.0
1,1,cartservice,1.5466666666666666,1374.4375,807.5,1667.5,3121.6000000000004,7105.100000000004,4334.399999999995
2,2,checkoutservice,7.916666666666667,916938.5848421053,114087.0,211198.02777777775,491666.125,20000929.25,4468615.999999985
3,3,currencyservice,77.09666666666666,295.66561459639416,161.8410256410256,311.31581685744015,621.8421052631584,2271.5166666666605,989.3296703296704
4,4,emailservice,6.58,380.13272543059776,203.44444444444446,388.125,773.2000000000003,2714.7599999999998,1259.75
5,5,frontend,102.38,458928.8283844501,399752.58557625953,605654.5190139,806336.1580377361,1711009.3188235317,997559.081318681
6,6,paymentservice,6.583333333333333,603.2045569620253,445.5555555555555,602.0625,1018.0,2898.75,1477.4999999999973
7,7,productcatalogservice,186.61,0.8934497972598825,0.0,1.0,1.0,3.0,2.0
8,8,recommendationservice,57.79,30433.652996481513,7556.543209876544,77197.49584980238,92787.82631578945,111609.98440000012,97978.0329004329
9,9,redis,,,,,,,0.0
10,10,shippingservice,24.39,429.7555008883422,113.08264462809916,373.1543209876543,990.0583333333335,4217.664999999998,1757.00222222222
11,11,get,0.8933333333333333,1601.6268656716418,1146.0,2189.0,3467.1000000000013,6139.259999999995,4290.5
12,12,set,0.6533333333333333,1063.7908163265306,458.5,943.0,2604.700000000003,7448.899999999999,4498.199999999999
13,13,total,100.09,1.28s,657.41ms,892.93ms,1.56s,15.96s,0.0
