service,rps,avg,0.50,0.90,0.95,0.99
adservice,26.303333333333335,16.29616018248638,2.1180555555555554,18.0,24.0,56.61250000000018
cartservice,1.7733333333333334,1693.218045112782,1036.0,3883.4,5434.799999999999,8914.039999999919
checkoutservice,7.956666666666667,812387.1562630917,779865.8888888889,1589660.3250000002,1783681.8,2113148.7600000002
currencyservice,94.67333333333333,363.2894514470812,174.98131404460517,627.8306675780358,1038.9310576923065,2541.751020408162
emailservice,7.036666666666667,627.789199431549,218.0,1623.6000000000004,2555.2499999999973,5220.119999999999
frontend,102.88333333333334,226296.25365300503,196342.86111609277,406223.0759642401,614652.344868035,1510865.5333333323
paymentservice,6.746666666666667,778.3310276679842,492.1666666666667,1546.700000000001,2350.5,4552.42
productcatalogservice,357.6166666666667,0.8664678193596496,0.0,1.0,1.0,2.0
recommendationservice,73.07666666666667,11355.0215755143,5104.369328493648,29367.66222222227,62923.804545454535,77444.40766666668
redis
shippingservice,26.913333333333334,447.38741639831557,110.25,1159.473469387756,1941.8239999999976,4165.675000000003
get,1.0033333333333334,1873.0764119601329,1278.0,4112.8,5648.15,9390.670000000015
set,0.77,1458.857142857143,823.0,3249.2000000000003,5042.049999999997,9955.369999999984
total,100.14,305.55ms,267.01ms,471.04ms,1.56s
