,Unnamed: 0,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,0,adservice,23.096666666666668,11.14561985856545,2.0,11.0,18.0,64.35500000000002,24.0
1,1,cartservice,1.73,1338.6878612716764,596.0,1274.75,2958.600000000002,7023.579999999977,4113.449999999999
2,2,checkoutservice,8.003333333333334,205794.95460224905,136364.55555555556,297153.88888888893,415050.025,631641.4399999992,523856.0999999999
3,3,currencyservice,88.05666666666667,302.4635272741038,157.95021645021643,293.73340748980337,569.174924165824,2280.1189010988937,939.7042424242416
4,4,emailservice,7.086666666666667,453.0573847601129,203.16666666666666,442.375,1023.5500000000003,3936.1599999999926,1580.399999999997
5,5,frontend,102.92666666666666,256379.69602953558,248201.06349206343,403594.953712406,508016.2296894107,718192.6839506176,601017.2492599742
6,6,paymentservice,6.8133333333333335,657.4716242661448,453.8888888888889,688.75,1242.700000000001,3039.619999999996,1764.3
7,7,productcatalogservice,209.21,0.8891544381243727,0.0,1.0,1.0,3.0,2.0
8,8,recommendationservice,73.24666666666667,17310.24064803859,6158.858996539792,13171.934601664685,73342.81543209877,97014.57499999998,83467.94351851851
9,9,redis,,,,,,,0.0
10,10,shippingservice,27.01,460.1571023077872,108.80555555555556,414.1969696969697,1212.7714285714283,4406.975000000004,2116.071999999998
11,11,get,1.0033333333333334,1299.9435215946844,659.0,1535.5,3254.2000000000025,6683.370000000004,4463.4
12,12,set,0.7266666666666667,1392.1834862385322,510.0,977.0,2398.7000000000007,7583.359999999994,3881.4
13,13,total,100.12,371.21ms,345.09ms,505.09ms,623.10ms,1.10s,0.0
