service,rps,avg,0.50,0.90,0.95,0.99
adservice,25.03,11.959115727793314,2.0,17.0,23.0,55.0
cartservice,1.8166666666666667,1907.0587155963303,1181.0,4021.0,5506.5,8009.499999999985
checkoutservice,7.963333333333333,1022471.9275847635,893104.0,1989924.4,2300588.75,3301074.42
currencyservice,96.95,795.703455389376,190.31851851851854,670.9666666666667,1138.7382812500002,3833.0950000000216
emailservice,6.716666666666667,614.4818858560794,215.0,1375.0,2332.75,6328.399999999992
frontend,102.84333333333333,274223.86720902345,211508.96354166666,507620.1099487181,855974.950173608,1997743.2883333347
paymentservice,6.8566666666666665,800.7156052503647,523.0,1660.8,2346.0,4049.6500000000005
productcatalogservice,357.06666666666666,0.8129014189693802,0.0,1.0,1.0,3.0
recommendationservice,69.71333333333334,8428.83293487616,4246.009375,12171.216666666682,57204.790093240066,71782.34722222225
redis
shippingservice,26.873333333333335,513.6152319523692,128.16666666666666,1291.467346938776,2291.999999999999,5292.5850000000055
get,0.9966666666666667,1947.1304347826087,1216.0,3979.4000000000005,5821.300000000001,7747.36
set,0.82,1858.3536585365853,1150.0,4057.0,5378.4,8357.59999999999
total,100.12,352.32ms,277.25ms,597.50ms,1.68s
