,Unnamed: 0,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,0,adservice,27.473333333333333,10.11950982771172,2.0,11.0,17.0,59.934999999999945,23.0
1,1,cartservice,1.7,1306.5156862745098,636.0,1470.0,3253.0,7825.799999999997,4678.199999999999
2,2,checkoutservice,7.983333333333333,303414.21002087684,278525.55555555556,400205.47222222225,525976.75,807579.6500000004,633531.6
3,3,currencyservice,95.11333333333332,1159.3709960047663,180.0,338.4498555026165,656.4599659863952,66833.21249999997,1138.7283163265306
4,4,emailservice,7.073333333333333,514.5702167766258,208.55555555555554,453.375,1246.8666666666663,4861.960000000012,2012.1999999999985
5,5,frontend,102.95666666666666,197231.47919836824,204292.5489130435,303161.28512656904,406382.26944,711873.0941818185,497952.7102040815
6,6,paymentservice,6.9,778.9193236714976,511.6666666666667,870.625,1469.5,4315.000000000007,2171.0
7,7,productcatalogservice,283.24666666666667,1.0261962482641749,0.0,1.0,1.0,3.0,1.0
8,8,recommendationservice,73.02,5992.663197297544,3384.840830449827,5339.637336504162,8775.331106612686,63434.11899999996,13428.483571428578
9,9,redis,,,,,,,0.0
10,10,shippingservice,26.98,504.5284161106993,140.83333333333331,455.5,1279.236734693878,5514.854999999987,2213.1219999999985
11,11,get,1.0033333333333334,1248.78073089701,549.0,1278.0,3277.800000000004,7838.580000000002,4902.799999999996
12,12,set,0.6966666666666667,1389.6650717703349,866.0,1777.25,3240.5999999999995,7922.499999999996,4601.0
13,13,total,100.13,288.87ms,282.37ms,380.93ms,498.94ms,929.28ms,0.0
