,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,37.156666666666666,9.095989952453575,5.0,12.292222222222222,18.0,50.24555555555606,23.0
1,cartservice,1.7266666666666666,1601.857142857143,788.5,1846.0,3628.7,8562.760000000004,4792.399999999998
2,checkoutservice,7.95,168421.22012578617,114377.11111111111,210366.4444444444,307514.75,927917.7000000003,412895.09999999986
3,currencyservice,90.21666666666668,304.21415111767965,156.60296052631577,289.99131944444434,548.0172277540698,2222.979999999996,902.3351851851844
4,emailservice,7.016666666666667,406.68741092636577,199.66666666666666,377.375,857.0,3260.7499999999936,1396.0
5,frontend,103.05666666666669,199576.9741242682,149136.58713624338,314844.74007936503,495996.98478260863,782661.1477777758,562569.2439909289
6,paymentservice,6.97,695.1386896221903,460.5555555555555,716.9375,1254.4000000000005,4295.18,1834.0
7,productcatalogservice,277.49,0.8831309236368878,0.0,1.0,1.0,3.0,1.0
8,recommendationservice,71.23666666666666,42875.2633943194,10904.08080808081,85311.37663495836,102840.67314439948,203922.2669444446,128370.86048534859
9,redis,,,,,,,0.0
10,shippingservice,26.366666666666667,334.1160556257901,94.51388888888887,333.785,769.6530612244899,3215.0999999999967,1296.3600000000001
11,get,0.99,1898.861952861953,1263.0,2635.5,4231.0,8793.279999999988,5175.649999999992
12,set,0.7366666666666667,1202.7149321266968,475.0,967.25,2051.0,7884.799999999992,3024.5499999999993
13,total,100.12,282.53ms,236.67ms,415.49ms,560.64ms,925.70ms,0.0
