service,rps,avg,0.50,0.90,0.95,0.99
adservice,23.886666666666667,18.489952553725928,2.0,18.0,24.943749999999966,64.50500000000011
cartservice,1.7566666666666666,2177.855787476281,1011.0,4242.4,5647.9,9941.390000000005
checkoutservice,7.933333333333334,186018.70588235295,130325.0,386358.0,496218.0,747923.0999999942
currencyservice,92.77333333333333,474.41807990801954,169.0,620.5041666666667,1017.5573453996973,2646.300000000002
emailservice,7.03,468.5206258890469,202.0,1109.200000000001,1761.3499999999997,3788.549999999992
frontend,102.58,228541.7440696692,215982.8849826389,419095.6069496022,505849.54512471653,704446.9761904759
paymentservice,6.633333333333334,676.7206030150754,456.0555555555556,1181.0,1737.0,3566.3999999999814
productcatalogservice,282.8566666666667,1.0682795762282429,0.0,1.0,1.0,3.0
recommendationservice,72.81,12760.198095499702,5641.166955017301,29178.838357843193,71970.6568047337,85978.09759999998
redis
shippingservice,26.873333333333335,491.03473083602086,125.79166666666667,1196.2122448979592,2148.4639999999995,5207.215000000004
get,1.0,2549.4866666666667,1472.5,4980.5,6075.0,10268.5
set,0.7566666666666667,1686.7136563876652,573.0,2608.4000000000005,3812.8499999999885,8721.239999999993
total,100.14,345.19ms,318.46ms,577.53ms,1.19s
