service,rps,avg,0.50,0.90,0.95,0.99
adservice,25.976666666666667,8.331964583600667,2.0,17.0,24.0,53.01749999999993
cartservice,1.7533333333333334,2179.161596958175,1056.0,3931.800000000003,5511.4,10589.120000000008
checkoutservice,7.94,297175.84634760703,215869.27777777778,610406.7000000002,707327.8,911765.0399999997
currencyservice,86.98333333333333,306.46323050392795,168.60631578947365,594.4045138888889,965.6559811827955,2346.8416666666617
emailservice,7.003333333333333,436.130890052356,204.66666666666666,991.2000000000007,1546.5999999999985,3364.899999999998
frontend,102.72,251534.42153426792,248709.56954887215,510470.89321428566,601822.0591608391,793879.9173333334
paymentservice,6.883333333333334,730.9762711864407,480.11111111111114,1398.0,2065.0,4342.799999999994
productcatalogservice,275.22,1.0177918271443451,0.0,1.0,2.0,3.0
recommendationservice,69.5,19166.95160671463,5754.209293394777,78051.81092436974,86276.52173913043,97372.70303030303
redis
shippingservice,26.3,496.1596958174905,115.2638888888889,1182.612244897959,2127.8,5585.050000000013
get,0.9933333333333333,2470.9295302013425,1504.5,4879.399999999998,7097.4,12098.039999999968
set,0.76,1797.8157894736842,622.0,2370.9000000000015,3444.4999999999995,8307.039999999999
total,100.14,366.06ms,345.86ms,626.69ms,1.23s
