,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,40.71666666666667,16.352026197298404,7.0,13.203663793103448,20.0,63.94000000000015,26.0
1,cartservice,1.6966666666666668,1321.3831041257367,512.0,1214.25,2892.800000000002,7142.86999999999,4280.549999999985
2,checkoutservice,7.956666666666667,336093.5726853791,191163.66666666666,387089.6666666667,604429.2250000001,4795049.28,779723.4499999994
3,currencyservice,96.43,316.264993605033,177.17364657814093,318.1391409353557,575.5369614512474,2105.6643055555546,927.7393351800542
4,emailservice,7.0633333333333335,693.2487022180273,196.22222222222226,373.0,938.6000000000001,6428.349999999995,1782.1499999999994
5,frontend,102.95333333333332,282964.5320533575,196466.70390365447,437049.233346022,708093.1806183114,1115931.4378124997,871396.2770897832
6,paymentservice,7.233333333333333,797.4405529953917,495.5555555555555,796.625,1461.5,3976.0000000000073,2160.0
7,productcatalogservice,345.91,0.9890433927900321,0.0,1.0,1.0,3.0,1.0
8,recommendationservice,70.98666666666666,23461.78789444027,5339.374678993323,13456.630769230767,88332.0,99180.7472727273,91915.49378881988
9,redis,,,,,,,0.0
10,shippingservice,26.30333333333333,347.4239006463059,99.35416666666667,322.32,768.5428571428575,3355.1400000000067,1364.1959999999995
11,get,0.9833333333333332,1166.406779661017,510.0,1181.5,3141.0,6927.000000000002,4601.75
12,set,0.7133333333333334,1535.018691588785,519.0,1258.0,2601.3999999999987,7440.639999999995,4126.5999999999985
13,total,100.08,394.27ms,314.11ms,549.38ms,823.29ms,1.74s,0.0
