service,rps,avg,0.50,0.90,0.95,0.99
adservice,29.733333333333334,16.453811659192827,2.0,17.0,22.14,52.0
cartservice,1.74,1591.7107279693487,879.0,3291.8,4937.199999999997,9157.679999999951
checkoutservice,7.953333333333333,287875.50502933783,222121.11111111112,524737.1000000001,622268.9999999998,821416.44
currencyservice,90.54333333333334,794.7789640319552,170.85842985842984,629.6453333333335,1080.5656372549008,3894.6683673469174
emailservice,7.113333333333333,413.6124648547329,208.0,926.0000000000003,1427.3999999999999,2994.2399999999943
frontend,102.57666666666667,234862.01322587984,219009.3760850694,502181.94100769167,595353.6560937499,802064.7461111112
paymentservice,6.986666666666666,783.1722328244275,515.9444444444445,1566.7000000000003,2246.0999999999995,4011.939999999998
productcatalogservice,282.2633333333333,0.8176525466762715,0.0,1.0,1.0,3.0
recommendationservice,73.26,26333.777277277277,6834.640905017922,87438.932,96637.00177777775,133285.31442424422
redis
shippingservice,26.81,485.5485515354967,112.28125,1146.9673469387753,2130.6099999999974,5676.47499999998
get,1.0,1607.31,958.5,3394.0,5168.5,10558.5
set,0.74,1570.6306306306305,780.0,2934.700000000001,4707.599999999996,8103.160000000002
total,100.12,318.57ms,309.25ms,559.61ms,953.34ms
