,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,adservice,24.89,9.386500602651667,2.0,11.0,18.0,64.83249999999998,24.0
1,cartservice,1.7433333333333334,1735.9139579349905,1127.0,2156.5,3909.2,7607.189999999998,6051.0
2,checkoutservice,7.963333333333333,538862.6601088322,461813.3333333333,708455.8333333334,1098898.825,1714599.4500000002,1294594.7
3,currencyservice,88.34333333333333,323.06806776591327,170.2841305036427,336.94067215363503,664.927758346582,2428.2730238095273,1103.8680147058806
4,emailservice,7.056666666666667,497.0207841284837,215.22222222222226,479.375,1167.8,3507.629999999992,1847.3999999999996
5,frontend,102.88333333333334,322400.4346346995,309652.4707157724,493607.6232142857,605778.0915360501,1204079.2258333326,706382.1859243696
6,paymentservice,6.953333333333333,851.7372962607861,545.9999999999999,938.75,1718.8000000000002,4610.959999999992,2397.45
7,productcatalogservice,208.67666666666668,1.1044997843553823,0.0,1.0,1.0,3.0,2.0
8,recommendationservice,72.77666666666667,19014.112856684835,5687.343044810977,11947.122439335888,78639.70973512212,94932.69749999997,85517.93186813185
9,redis,,,,,,,0.0
10,shippingservice,26.883333333333333,603.6176069435834,135.5659722222222,517.365,1556.2448979591834,7073.78750000001,2867.0799999999995
11,get,1.0,2034.6733333333334,1377.0,2496.0,4520.0,8876.0,6374.5
12,set,0.7433333333333333,1333.9955156950673,793.0,1560.75,3058.6,7483.370000000001,4317.25
13,total,100.11,473.34ms,462.85ms,583.17ms,763.90ms,1.59s,0.0
