service,rps,avg,0.50,0.90,0.95,0.99
adservice,21.476666666666667,21.41362719230172,2.0,19.0,25.0,73.0
cartservice,1.7866666666666666,1849.9048507462687,757.0,3696.5,4959.5999999999985,11880.439999999986
checkoutservice,7.986666666666666,319008.9361435726,245988.0,688922.0,798143.9999999999,1026254.4199999997
currencyservice,82.86333333333333,373.3357335371495,157.77777777777774,596.9980050505056,1008.098883928571,2567.5851020408154
emailservice,7.036666666666667,471.6470866887731,213.44444444444443,1088.8000000000002,1669.0499999999965,3818.9499999999994
frontend,103.12666666666667,339317.02563190897,327069.79991319444,687513.5025470087,758797.4781578945,1003589.234074074
paymentservice,6.833333333333333,726.1609756097561,474.0,1451.0,2016.0,3976.0
productcatalogservice,206.96,0.9341257569900786,0.0,1.0,2.0,3.0
recommendationservice,71.72333333333333,19703.17037691128,6823.887052341597,78388.85454887217,86700.34974358972,98506.80781818175
redis
shippingservice,26.8,543.0941542288557,103.83333333333333,1351.0,2458.1600000000003,6556.700000000006
get,0.9933333333333333,2036.0771812080536,895.5,3971.1,5341.799999999992,13906.83999999996
set,0.7933333333333333,1616.7983193277312,653.0,2862.5000000000005,4331.6,7908.760000000003
total,100.11,516.96ms,471.55ms,841.22ms,1.65s
