service,rps,avg,0.50,0.90,0.95,0.99
adservice,22.43,17.7751523257542,2.0,18.0,25.0,69.71000000000004
cartservice,1.69,1806.0138067061143,1111.0,3630.6000000000004,4608.799999999998,8663.810000000003
checkoutservice,7.943333333333333,446445.0516156106,339316.88888888893,995778.5750000001,1199055.7,1603177.87
currencyservice,85.68666666666667,330.15867890764804,174.444,705.3986731534724,1163.630576923075,2568.8628571428526
emailservice,7.0,587.1761904761905,220.5,1138.0,1796.5,4470.0
frontend,102.64666666666666,423599.90628044424,409677.5298485298,803303.1967980295,913230.1148788927,1396804.9699206352
paymentservice,6.766666666666667,776.6975369458128,478.0,1548.0,2270.0,4442.000000000001
productcatalogservice,348.72,1.0388946241492698,0.0,1.0,1.0,3.0
recommendationservice,70.09333333333333,30349.856762412022,8535.349862258952,92521.31135734073,99865.60666666666,168399.24000000008
redis
shippingservice,26.283333333333335,509.8021559923906,120.50694444444444,1342.7142857142858,2333.6400000000003,5083.187499999996
get,0.9833333333333333,1759.542372881356,1331.0,3534.0,4522.0,7051.550000000005
set,0.7066666666666667,1870.6792452830189,814.5,3823.800000000001,4828.999999999999,12945.739999999989
total,100.07,629.12ms,590.85ms,1.01s,1.80s
