,Unnamed: 0,service,rps,avg,0.50,0.75,0.90,0.99,0.95
0,0,adservice,37.303333333333335,9.437673130193906,4.0,13.0,19.0,56.0,25.0
1,1,cartservice,1.7066666666666668,2711.634765625,744.5,1737.0,3398.2,7822.459999999992,4361.0
2,2,checkoutservice,7.98,271881.30576441105,116743.33333333333,204188.55555555553,310503.29999999993,5373401.76,504928.29999999993
3,3,currencyservice,92.22666666666667,387.1975928870898,172.14710654407787,321.11157882597155,596.5555041628124,2392.0333333333324,975.5089694958116
4,4,emailservice,7.04,399.8499053030303,201.88888888888889,402.0,822.2999999999995,3249.9000000000005,1285.5
5,5,frontend,102.93,228870.10366268337,203873.2460273973,327303.1491750976,501894.63923900126,805559.2528333332,557576.8244897954
6,6,paymentservice,7.033333333333333,641.5644549763033,452.0,677.875,1192.0,3085.600000000011,1694.2499999999995
7,7,productcatalogservice,208.92666666666668,0.8132039950221769,0.0,1.0,1.0,3.0,2.0
8,8,recommendationservice,73.12666666666667,26974.97319719209,6345.384083044983,51189.76715686274,89521.67533333333,115326.90333333315,96223.70950413225
9,9,redis,,,,,,,0.0
10,10,shippingservice,26.90333333333333,436.1193160698798,109.94791666666667,366.2925,972.06530612245,4799.454999999996,1747.0259999999994
11,11,get,0.9966666666666668,1715.0802675585285,1172.0,2360.5,3889.8000000000006,6751.539999999992,4832.799999999997
12,12,set,0.71,4110.553990610329,439.0,709.0,1664.4000000000053,31758.790000000266,3418.5999999999995
13,13,total,100.12,327.97ms,270.59ms,439.30ms,578.05ms,1.24s,0.0
