service,rps,avg,0.50,0.90,0.95,0.99
adservice,31.07,9.589529020491364,3.0,17.02857142857142,23.0,52.69749999999976
cartservice,1.7733333333333334,1706.8515037593984,1025.5,3565.700000000001,4792.699999999997,8934.099999999995
checkoutservice,7.986666666666666,481715.0070951586,399254.1666666667,887220.6000000001,1088113.2,1305766.28
currencyservice,97.53,336.08694760586485,185.38507462686567,623.9636363636365,1021.7853037766827,2410.411481481481
emailservice,7.073333333333333,567.5146088595665,207.88888888888889,1367.8333333333333,2442.799999999997,4450.480000000013
frontend,103.04333333333334,165696.24601300425,127283.8988715278,319756.81379310344,415206.0850340133,926249.1558181812
paymentservice,6.74,740.8115727002968,493.5555555555555,1425.0,2018.1999999999996,4007.8799999999983
productcatalogservice,282.76666666666665,1.6222327006955086,0.0,1.0,1.0,3.0
recommendationservice,73.25,11987.457610921501,4624.200259515571,52083.88480392157,65785.16124794744,81313.71666666666
redis
shippingservice,26.98,414.27044724487274,105.125,1000.2387755102047,1748.1999999999964,4365.529999999974
get,0.9933333333333333,2043.7046979865772,1366.0,3920.1000000000004,5522.5999999999985,10086.839999999962
set,0.78,1277.8675213675215,737.5,3012.0,4240.999999999999,8807.8
total,100.15,223.39ms,196.74ms,389.38ms,1.22s
