service,rps,avg,0.50,0.75,0.90,0.99
adservice,27.61,16.769648678015212,2.0,11.0,17.0,60.085000000000036
cartservice,1.6366666666666667,2496.28716904277,1074.0,2282.75,4448.800000000001,14037.38999999989
checkoutservice,7.96,1432308.9082914572,398474.0,713115.3333333334,1503987.6000000008,20003633.5
currencyservice,81.48,420.987686139748,187.51355661881976,354.56235431235433,741.1344497607661,2733.3161172161244
emailservice,6.44,489.22722567287786,207.83333333333334,410.5,934.3,3257.5200000000013
frontend,98.85333333333334,442379.7271695789,319156.0859614208,602694.594076655,805055.7362209138,1508353.674999997
paymentservice,6.823333333333333,806.9687347337567,510.77777777777777,864.0625,1621.9999999999995,4319.379999999991
productcatalogservice,314.33,1.1962278953394683,0.0,1.0,1.0,3.0
recommendationservice,61.13666666666666,57302.34414699308,15499.670781893004,95724.67977181621,120522.13491436113,284816.9532
redis
shippingservice,19.893333333333334,468.1608991825613,130.0082644628099,437.3888888888889,1128.388888888889,5138.650000000016
get,0.9033333333333333,3467.730627306273,1428.0,2937.25,5304.0,81230.94000000018
set,0.7333333333333333,1299.6454545454546,730.5,1646.5,2966.5,7539.900000000005
total,100.00,1.48s,556.54ms,839.17ms,1.75s,18.01s
