service,rps,avg,0.50,0.75,0.90,0.99
adservice,32.12,18.251556662515565,2.0,13.0,19.0,58.54999999999927
cartservice,1.7933333333333332,2113.1524163568774,1237.0,2607.0,4148.5,9365.560000000003
checkoutservice,7.923333333333333,521545.1013883046,397250.8888888888,697631.75,1193026.2500000002,1907366.1500000001
currencyservice,92.59666666666666,458.92469131358223,198.1137171286425,381.0908010280574,776.2534375000005,2957.5114285714258
emailservice,7.02,581.2051282051282,209.83333333333334,428.375,1031.9,4275.680000000011
frontend,102.99666666666667,443022.3606265575,416307.9717474712,682499.7010344828,825267.2854615387,1547729.4139743482
paymentservice,7.15,872.8111888111888,542.1111111111111,920.1875,1731.875,4947.400000000005
productcatalogservice,357.43666666666667,1.1905978681537988,0.0,1.0,1.0,3.0
recommendationservice,73.2,66584.84421675775,74451.67283950617,99363.82371794869,183839.18300653595,292610.4200000001
redis
shippingservice,26.826666666666668,580.0074552683897,158.3846153846154,539.68,1400.1081632653056,6113.159999999973
get,0.9966666666666667,2516.6521739130435,1443.0,3002.0,5104.4000000000015,13623.839999999967
set,0.7966666666666666,1608.3556485355648,1041.0,2311.25,3711.2,8044.979999999979
total,100.17,610.56ms,585.22ms,791.55ms,1.01s,1.83s
