service,rps,avg,0.50,0.75,0.90,0.99
adservice,27.64,9.590328027013989,3.0,13.0,20.0,56.84999999999991
cartservice,1.6033333333333333,2187.3513513513512,1144.0,2424.0,3934.000000000002,9791.409999999996
checkoutservice,7.943333333333333,1298919.6865295845,488123.6666666667,877607.3611111111,1313785.6500000001,20001956.6
currencyservice,80.87333333333333,407.8811722034457,185.8970398970399,353.2686524121451,698.5996539792386,2827.7820408163307
emailservice,6.5633333333333335,486.14982224479434,210.11111111111111,446.25,1071.0,4262.259999999992
frontend,102.71,452791.7097978126,360727.3881752306,610788.6980963711,813325.4486274511,1679836.924666658
paymentservice,6.616666666666666,811.6715365239295,523.3333333333334,881.0625,1644.0,4221.200000000001
productcatalogservice,313.82,1.0751704798929322,0.0,1.0,1.0,3.0
recommendationservice,61.13,57109.37504771253,15831.47512755102,95098.71408045977,118230.74444444464,285287.1640000001
redis
shippingservice,24.066666666666666,522.1270083102493,123.66115702479337,449.5740740740741,1214.0833333333333,6067.200000000015
get,0.9033333333333333,2415.5830258302585,1403.0,2822.75,4280.6,9910.310000000025
set,0.7,1892.8238095238096,876.5,2036.0,3764.5,9258.400000000021
total,100.11,1.23s,552.45ms,824.83ms,1.54s,15.57s
