service,rps,avg,0.50,0.75,0.90,0.99
adservice,31.73,8.989284588717302,2.0,12.0,19.0,57.404999999999745
cartservice,1.7733333333333334,5133.81954887218,1026.5,1949.5,3970.0000000000014,10694.819999999967
checkoutservice,7.96,452892.28308207705,363870.5,604241.8333333334,994042.1000000001,1714613.8999999997
currencyservice,91.27,488.70742485665244,200.39906976744183,381.45990338164245,782.7414736842107,2809.7558333333277
emailservice,7.05,428.30969267139477,203.0,396.0,909.0,3180.1499999999883
frontend,102.63,474579.83874110883,496799.2571614583,704461.6522903035,903398.1369458128,1644899.2869047655
paymentservice,7.223333333333334,814.9963082602676,525.6666666666666,884.9375,1615.1,4009.9199999999983
productcatalogservice,356.35333333333335,1.085355358913438,0.0,1.0,1.0,3.0
recommendationservice,73.27666666666667,66460.05677114133,75750.83417948916,99823.87438423645,182837.5496356275,291025.7297222219
redis
shippingservice,26.833333333333332,458.22732919254656,133.51388888888889,447.66499999999996,1158.2142857142858,4501.875
get,0.9866666666666667,2317.233108108108,1372.5,2336.5,4532.600000000008,11609.400000000038
set,0.7866666666666666,8666.487288135593,656.0,1571.0,3271.8000000000006,9607.619999999974
total,100.02,670.01ms,614.40ms,825.34ms,1.24s,2.24s
