service,rps,avg,0.50,0.75,0.90,0.99
adservice,32.19,16.547685616651133,3.0,12.283076923076925,19.0,59.372000000000114
cartservice,1.81,2844.1012891344385,1078.0,2379.75,4231.2,65487.49000000034
checkoutservice,7.953333333333333,465927.1307627829,391011.6666666667,617853.8888888889,996849.8,1502044.6399999997
currencyservice,87.41,428.05529497006444,182.09868421052633,351.12954022988504,733.0829667519183,2674.544583333335
emailservice,7.033333333333333,471.2834123222749,215.0,454.75,1088.0,3750.4000000000037
frontend,102.69,429020.33946830267,414364.0510912698,626876.9121058893,813944.0409961685,1307414.993382353
paymentservice,7.153333333333333,817.9627213420317,529.7222222222223,900.125,1611.9000000000003,4011.3999999999915
productcatalogservice,356.36333333333334,1.0423070087644632,0.0,1.0,1.0,3.0
recommendationservice,73.25,61907.76482366325,30253.77595628415,97973.76989782888,177897.75070028013,282592.5
redis
shippingservice,26.89666666666667,493.41293840624616,124.84027777777777,454.17999999999995,1220.0122448979596,5304.18249999999
get,0.9966666666666667,2908.3745819397996,1144.0,2341.5,4159.400000000001,43609.989999999365
set,0.8133333333333334,2765.340163934426,986.5,2414.5,4477.7,65419.42000000001
total,99.96,593.55ms,550.40ms,755.71ms,948.73ms,1.75s
