service,rps,avg,0.50,0.75,0.90,0.99
adservice,28.076666666666668,11.445565712928886,3.0,13.0,19.0,60.88500000000022
cartservice,1.5866666666666667,1819.18487394958,1133.5,2312.5,3708.300000000001,7108.320000000003
checkoutservice,7.766666666666667,1264772.4652360515,395944.0555555555,795298.2222222221,1322048.0,20000876.6
currencyservice,81.71333333333334,453.4314677327242,193.60303928836174,365.0325465838509,725.0886868686875,2852.8800000000033
emailservice,7.01,498.69662387066097,207.66666666666666,432.875,1183.8000000000004,4613.519999999997
frontend,100.87,457651.6829913089,401269.72612041654,615443.0544318857,814139.8848214285,1488454.5025274719
paymentservice,6.74,849.5731948565776,527.0555555555555,876.5,1645.0,5052.039999999997
productcatalogservice,317.20666666666665,1.2305437044198315,0.0,1.0,1.0,3.0
recommendationservice,59.056666666666665,62399.10487102783,23484.0485106383,97680.90952380952,180534.05307285313,292960.8569999998
redis
shippingservice,24.373333333333335,516.4586980306345,145.93388429752065,478.0432098765432,1216.2833333333335,5659.440000000014
get,0.8833333333333333,2205.2226415094337,1403.0,2656.75,4103.0,9159.850000000053
set,0.7033333333333334,1334.350710900474,825.0,1717.25,2880.8000000000006,5562.889999999999
total,97.77,982.03ms,552.96ms,808.96ms,1.13s,16.04s
