service,rps,avg,0.50,0.75,0.90,0.99
adservice,29.94,25.55154753952349,3.0,12.0,19.0,55.0
cartservice,1.82,1791.113553113553,1129.5,2251.0,3938.4000000000015,10060.59999999998
checkoutservice,7.98,482873.7376775271,402321.11111111107,689141.1111111111,1000950.6000000001,1449733.3599999961
currencyservice,90.32666666666667,399.7578050040593,179.15738498789347,349.7492514247077,703.7508000000003,2765.3165714285733
emailservice,6.933333333333334,461.3269230769231,216.16666666666666,465.5,1021.5,3597.49999999999
frontend,102.82,387979.74881670234,404005.365234375,604100.9732302201,780909.4307037304,1209474.8814814815
paymentservice,7.05,823.0179669030733,508.3333333333333,872.0,1638.0,4449.649999999996
productcatalogservice,356.62333333333333,1.4842831372035854,0.0,1.0,1.0,3.0
recommendationservice,70.07666666666667,56546.21804690101,15676.203856749313,95642.77965561228,115786.07555555558,276301.54344444454
redis
shippingservice,26.93,530.7383339522219,107.14583333333333,402.6454545454546,1162.7102040816333,6486.467500000002
get,1.0033333333333334,1964.0332225913621,1374.0,2397.0,4070.2000000000016,10303.600000000006
set,0.8166666666666667,1578.669387755102,815.0,1876.25,3633.0,9658.500000000025
total,100.02,548.20ms,515.07ms,709.63ms,886.27ms,1.73s
