service,rps,avg,0.50,0.75,0.90,0.99
adservice,31.606666666666666,11.358363214511707,2.0,12.0,18.0,60.54500000000007
cartservice,1.8233333333333333,1839.36197440585,1133.0,2125.0,3628.6,8852.819999999982
checkoutservice,7.92,442959.765993266,330119.0,609184.8333333334,906769.35,1508199.74
currencyservice,88.76333333333334,438.4248375830861,188.524,368.70416117698727,743.2183685377529,2991.207999999996
emailservice,6.726666666666667,518.2329038652131,211.0,442.125,1167.4,4251.279999999995
frontend,102.56333333333333,440816.63141473563,415401.91011235956,692583.4463284641,889026.7194594225,1403708.8889705886
paymentservice,7.123333333333333,798.518951801591,506.22222222222223,863.0625,1650.225,4228.600000000002
productcatalogservice,355.60333333333335,1.0451533075243014,0.0,1.0,1.0,3.0
recommendationservice,69.44,61500.54589093702,24027.74463768116,97409.03316326531,175876.70997229914,286500.0233333334
redis
shippingservice,22.066666666666666,555.0019922799154,146.1145833333333,523.2225,1374.0857142857149,5552.264999999973
get,0.9966666666666667,2178.9665551839466,1338.0,2321.0,3958.6000000000026,10489.229999999992
set,0.8266666666666667,1429.9193548387098,879.5,1880.5,3244.1000000000004,7551.100000000005
total,99.80,609.94ms,547.33ms,798.21ms,1.03s,1.90s
