service,rps,avg,0.50,0.75,0.90,0.99
adservice,32.5,9.147692307692308,3.0,12.076923076923078,19.0,55.2
cartservice,1.76,1749.9602272727273,932.5,2173.0,4207.999999999999,9973.320000000003
checkoutservice,7.9366666666666665,452863.18227635446,319603.22222222225,686276.6666666666,987962.8,1507229.3
currencyservice,92.02,429.3625661088169,183.93660401401715,353.8750453847229,713.9359343125257,2801.8085714285644
emailservice,7.03,450.615457562826,196.66666666666666,393.0,1001.6000000000008,3529.3799999999974
frontend,102.62,409801.77684661857,406611.92370370374,609083.5662322738,806480.3000129634,1383640.770666666
paymentservice,7.113333333333333,836.6640112464855,515.3333333333334,885.5,1717.9000000000005,4976.919999999991
productcatalogservice,355.3233333333333,1.0753023068191412,0.0,1.0,1.0,3.0
recommendationservice,73.11333333333333,60981.59259596973,20077.39251997095,96770.935616108,175485.7829570748,290627.07680000004
redis
shippingservice,23.713333333333335,517.6766206295881,121.66666666666666,441.79545454545456,1173.6244897959189,6802.035000000005
get,0.9933333333333333,1792.731543624161,1031.0,2320.0,3849.4999999999986,9112.919999999998
set,0.7666666666666667,1694.5434782608695,846.0,1962.0,4320.0,10696.999999999982
total,100.05,581.09ms,522.24ms,774.66ms,979.97ms,1.78s
