service,rps,avg,0.50,0.75,0.90,0.99
adservice,29.936666666666667,16.653602048769624,2.0,12.0,19.0,58.595000000000255
cartservice,1.7166666666666666,2274.856310679612,1154.0,2709.75,4753.0,10850.900000000003
checkoutservice,7.943333333333333,512189.32522031054,384930.88888888893,699676.0,1097238.2000000002,2721042.39
currencyservice,91.79666666666667,427.7373542975417,189.23363980530016,366.1427343512994,757.7081600000005,2831.8545476190493
emailservice,7.02,431.22934472934475,207.83333333333334,420.5,934.9000000000001,3088.160000000002
frontend,102.60333333333334,403963.4129820344,402773.05833333335,605381.8757532282,797426.6983925331,1535634.5893877489
paymentservice,7.156666666666666,865.9995342338146,521.6666666666666,881.8125,1713.5749999999996,5292.780000000005
productcatalogservice,346.3333333333333,0.8877863330125121,0.0,1.0,1.0,3.0
recommendationservice,70.75333333333333,58840.83049090738,18701.891809908997,96267.94188679245,120627.6024930749,282591.45888888906
redis
shippingservice,26.236666666666668,503.65798500825815,141.12499999999997,478.57,1232.3102040816332,4923.2125
get,0.9733333333333334,2523.171232876712,1533.0,3275.0,5127.3,10557.919999999996
set,0.7433333333333333,1949.7085201793723,738.0,1784.0,4062.4000000000005,11168.120000000006
total,100.03,600.81ms,566.78ms,769.02ms,1.01s,1.99s
